mode,stride,duration_us,requests,sectors,sectors_per_request,sector_util_pct,l1_hit_pct,l2_sectors,l2_hit_pct,long_scoreboard_pct,lg_throttle_pct,read_conflicts,write_conflicts,shared_ld_inst,shared_st_inst,short_scoreboard_pct,mio_throttle_pct
global,1,4290.24,4194304.0,16777216.0,4.0,100.0,0.0,16788590.0,0.0013401959306886403,92.62,0.0,,,,,,
global,16,2870.432,262144.0,8388608.0,32.0,12.5,0.0,8390298.0,0.002681668755984591,99.44,0.0,,,,,,
global,2,3153.888,2097152.0,16777216.0,8.0,50.0,0.0,16779755.0,0.001340901580505794,95.61,0.0,,,,,,
global,32,860.672,131072.0,4194304.0,32.0,12.5,0.0,4195733.0,0.0053625909942315204,98.96,0.0,,,,,,
global,4,2909.6,1048576.0,16777216.0,16.0,25.0,0.0,16779420.0,0.0013409283515163218,97.8,0.0,,,,,,
global,8,2854.336,524288.0,16777216.0,32.0,12.5,0.0,16779063.0,0.001340956881799657,98.9,0.0,,,,,,
shared-read,1,6769.664,,,,,,,,,,0.0,600.0,10240.0,40960.0,0.01,0.0
shared-read,16,6772.352,,,,,,,,,,153600.0,230.0,10240.0,40960.0,0.1,0.09
shared-read,2,6769.152,,,,,,,,,,10240.0,487.0,10240.0,40960.0,0.02,0.01
shared-read,32,6777.472,,,,,,,,,,317440.0,246.0,10240.0,40960.0,0.2,0.21
shared-read,4,6769.12,,,,,,,,,,30720.0,292.0,10240.0,40960.0,0.03,0.01
shared-read,8,6770.336,,,,,,,,,,71680.0,252.0,10240.0,40960.0,0.05,0.04
shared-write,1,13507.072,,,,,,,,,,0.0,1506.0,0.0,83927040.0,8.61,43.41
shared-write,16,46951.392,,,,,,,,,,0.0,1258291600.0,0.0,83927040.0,14.29,83.15
shared-write,2,26650.848,,,,,,,,,,0.0,83887284.0,0.0,83927040.0,12.22,67.22
shared-write,32,91359.936,,,,,,,,,,0.0,2600468792.0,0.0,83927040.0,14.31,84.4
shared-write,4,12449.504,,,,,,,,,,0.0,251658978.0,0.0,83927040.0,13.49,76.25
shared-write,8,25023.584,,,,,,,,,,0.0,587203062.0,0.0,83927040.0,14.08,80.8
