probe,kernel,metric,unit,value
hot16-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",gpu__time_duration.sum,ns,226720
hot16-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,524288
hot16-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read.sum,sector,525068
hot16-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_hit.sum,sector,224
hot16-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_miss.sum,sector,524829
hot16-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,95.52
hot16-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",gpu__time_duration.sum,ns,228320
hot16-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,524288
hot16-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read.sum,sector,525059
hot16-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_hit.sum,sector,224
hot16-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_miss.sum,sector,524836
hot16-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,95.58
hot32-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",gpu__time_duration.sum,ns,436448
hot32-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,1048576
hot32-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read.sum,sector,1049627
hot32-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_hit.sum,sector,224
hot32-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_miss.sum,sector,1049289
hot32-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,96.41
hot32-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",gpu__time_duration.sum,ns,436064
hot32-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,1048576
hot32-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read.sum,sector,1049635
hot32-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_hit.sum,sector,224
hot32-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_miss.sum,sector,1049406
hot32-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,96.39
hot4-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",gpu__time_duration.sum,ns,34016
hot4-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,131072
hot4-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read.sum,sector,131539
hot4-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_hit.sum,sector,224
hot4-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_miss.sum,sector,131380
hot4-normal.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,93.41
hot4-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",gpu__time_duration.sum,ns,68192
hot4-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum,sector,131072
hot4-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read.sum,sector,131565
hot4-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_hit.sum,sector,224
hot4-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",lts__t_sectors_op_read_lookup_miss.sum,sector,131304
hot4-persist.csv,"stream_read(const uint4 *, unsigned long, unsigned long long *)",smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,90.76
