smid,addr_mb,cycles,group
0,0,294.19,far
1,0,294.20,far
2,0,288.88,far
3,0,288.91,far
4,0,291.03,far
5,0,291.00,far
6,0,292.77,far
7,0,292.77,far
8,0,268.32,near
9,0,268.33,near
10,0,263.99,near
11,0,263.96,near
12,0,268.38,near
13,0,268.35,near
14,0,263.69,near
15,0,263.70,near
16,0,297.27,far
17,0,297.28,far
18,0,297.23,far
19,0,297.30,far
20,0,299.73,far
21,0,299.69,far
22,0,300.27,far
23,0,300.31,far
24,0,276.78,near
25,0,276.76,near
26,0,260.81,near
27,0,260.80,near
28,0,275.61,near
29,0,275.62,near
30,0,261.65,near
31,0,261.64,near
32,0,308.46,far
33,0,308.47,far
34,0,303.39,far
35,0,303.36,far
36,0,307.34,far
37,0,307.31,far
38,0,308.20,far
39,0,308.22,far
40,0,281.29,far
41,0,281.28,far
42,0,265.77,near
43,0,265.77,near
44,0,286.28,far
45,0,286.27,far
46,0,270.77,near
47,0,270.75,near
48,0,288.16,far
49,0,288.19,far
50,0,283.86,far
51,0,283.96,far
52,0,285.99,far
53,0,286.02,far
54,0,287.75,far
55,0,287.75,far
56,0,263.35,near
57,0,263.36,near
58,0,258.99,near
59,0,258.95,near
60,0,263.34,near
61,0,263.36,near
62,0,258.70,near
63,0,258.71,near
64,0,292.28,far
65,0,292.25,far
66,0,294.73,far
67,0,294.73,far
68,0,295.29,far
69,0,295.34,far
70,0,271.78,near
71,0,271.75,near
72,0,255.77,near
73,0,255.78,near
74,0,270.60,near
75,0,270.58,near
76,0,256.69,near
77,0,256.67,near
78,0,297.42,far
79,0,297.46,far
80,0,301.37,far
81,0,301.38,far
82,0,302.26,far
83,0,302.23,far
84,0,275.30,near
85,0,275.27,near
86,0,259.76,near
87,0,259.76,near
88,0,281.25,far
89,0,281.27,far
90,0,265.78,near
91,0,265.77,near
92,0,278.94,far
93,0,278.86,far
94,0,281.04,far
95,0,281.04,far
96,0,282.77,far
97,0,282.75,far
98,0,258.36,near
99,0,258.36,near
100,0,253.99,near
101,0,253.99,near
102,0,258.35,near
103,0,258.38,near
104,0,253.69,near
105,0,253.70,near
106,0,287.27,far
107,0,287.28,far
108,0,289.73,far
109,0,289.75,far
110,0,290.31,far
111,0,290.33,far
112,0,266.76,near
113,0,266.76,near
114,0,250.80,near
115,0,250.80,near
116,0,265.61,near
117,0,265.61,near
118,0,251.66,near
119,0,251.66,near
120,0,275.25,near
121,0,275.26,near
122,0,259.76,near
123,0,259.79,near
124,0,287.27,far
125,0,287.25,far
126,0,303.43,far
127,0,303.48,far
128,0,283.19,far
129,0,283.20,far
130,0,298.44,far
131,0,298.48,far
0,8,292.30,far
1,8,292.29,far
2,8,287.29,far
3,8,287.28,far
4,8,290.85,far
5,8,290.91,far
6,8,292.93,far
7,8,292.94,far
8,8,265.42,near
9,8,265.42,near
10,8,264.88,near
11,8,264.90,near
12,8,265.70,near
13,8,265.73,near
14,8,264.88,near
15,8,264.88,near
16,8,296.84,far
17,8,296.83,far
18,8,296.03,far
19,8,295.99,far
20,8,299.28,far
21,8,299.29,far
22,8,298.97,far
23,8,298.97,far
24,8,263.39,near
25,8,263.42,near
26,8,272.11,near
27,8,272.12,near
28,8,262.52,near
29,8,262.49,near
30,8,273.28,near
31,8,273.31,near
32,8,309.75,far
33,8,309.76,far
34,8,303.55,far
35,8,303.62,far
36,8,305.48,far
37,8,305.50,far
38,8,305.18,far
39,8,305.20,far
40,8,267.53,near
41,8,267.52,near
42,8,277.81,near
43,8,277.80,near
44,8,272.53,near
45,8,272.50,near
46,8,282.80,far
47,8,282.77,far
48,8,286.29,far
49,8,286.31,far
50,8,282.24,far
51,8,282.30,far
52,8,285.84,far
53,8,285.90,far
54,8,287.90,far
55,8,287.93,far
56,8,260.41,near
57,8,260.39,near
58,8,259.89,near
59,8,259.85,near
60,8,260.73,near
61,8,260.75,near
62,8,259.88,near
63,8,259.87,near
64,8,291.04,far
65,8,291.02,far
66,8,294.28,far
67,8,294.32,far
68,8,294.00,far
69,8,293.98,far
70,8,258.41,near
71,8,258.40,near
72,8,267.14,near
73,8,267.14,near
74,8,257.52,near
75,8,257.54,near
76,8,268.32,near
77,8,268.30,near
78,8,297.60,far
79,8,297.52,far
80,8,299.49,far
81,8,299.48,far
82,8,299.21,far
83,8,299.22,far
84,8,261.51,near
85,8,261.52,near
86,8,271.79,near
87,8,271.81,near
88,8,267.51,near
89,8,267.52,near
90,8,277.79,near
91,8,277.80,near
92,8,277.29,near
93,8,277.32,near
94,8,280.88,far
95,8,280.88,far
96,8,282.89,far
97,8,282.91,far
98,8,255.44,near
99,8,255.42,near
100,8,254.86,near
101,8,254.84,near
102,8,255.73,near
103,8,255.73,near
104,8,254.90,near
105,8,254.88,near
106,8,285.98,far
107,8,285.94,far
108,8,289.32,far
109,8,289.28,far
110,8,288.99,far
111,8,289.00,far
112,8,253.40,near
113,8,253.41,near
114,8,262.13,near
115,8,262.14,near
116,8,252.48,near
117,8,252.54,near
118,8,263.28,near
119,8,263.30,near
120,8,261.51,near
121,8,261.51,near
122,8,271.81,near
123,8,271.80,near
124,8,286.85,far
125,8,286.80,far
126,8,304.74,far
127,8,304.74,far
128,8,281.31,far
129,8,281.33,far
130,8,299.73,far
131,8,299.74,far
0,16,267.29,near
1,16,267.28,near
2,16,264.37,near
3,16,264.39,near
4,16,267.75,near
5,16,267.79,near
6,16,267.76,near
7,16,267.76,near
8,16,292.19,far
9,16,292.19,far
10,16,289.74,far
11,16,289.72,far
12,16,290.43,far
13,16,290.44,far
14,16,291.81,far
15,16,291.78,far
16,16,262.26,near
17,16,262.28,near
18,16,261.17,near
19,16,261.21,near
20,16,275.03,near
21,16,275.02,near
22,16,276.20,near
23,16,276.19,near
24,16,299.75,far
25,16,299.70,far
26,16,298.15,far
27,16,298.16,far
28,16,299.10,far
29,16,299.14,far
30,16,297.88,far
31,16,297.91,far
32,16,271.43,near
33,16,271.42,near
34,16,266.16,near
35,16,266.22,near
36,16,280.72,far
37,16,280.69,far
38,16,280.69,far
39,16,280.73,far
40,16,307.66,far
41,16,307.65,far
42,16,304.39,far
43,16,304.39,far
44,16,311.76,far
45,16,311.75,far
46,16,309.10,far
47,16,309.07,far
48,16,261.29,near
49,16,261.26,near
50,16,259.34,near
51,16,259.33,near
52,16,262.76,near
53,16,262.76,near
54,16,262.75,near
55,16,262.75,near
56,16,287.18,far
57,16,287.19,far
58,16,284.76,far
59,16,284.73,far
60,16,285.42,far
61,16,285.41,far
62,16,286.78,far
63,16,286.77,far
64,16,256.13,near
65,16,256.16,near
66,16,270.01,near
67,16,270.03,near
68,16,271.17,near
69,16,271.16,near
70,16,294.73,far
71,16,294.71,far
72,16,293.16,far
73,16,293.16,far
74,16,294.13,far
75,16,294.14,far
76,16,292.85,far
77,16,292.88,far
78,16,260.20,near
79,16,260.14,near
80,16,274.69,near
81,16,274.68,near
82,16,274.70,near
83,16,274.69,near
84,16,301.62,far
85,16,301.60,far
86,16,298.40,far
87,16,298.38,far
88,16,306.79,far
89,16,306.77,far
90,16,304.11,far
91,16,304.06,far
92,16,254.26,near
93,16,254.33,near
94,16,257.77,near
95,16,257.76,near
96,16,257.76,near
97,16,257.72,near
98,16,282.18,far
99,16,282.18,far
100,16,279.71,near
101,16,279.74,near
102,16,280.45,far
103,16,280.43,far
104,16,281.79,far
105,16,281.77,far
106,16,251.16,near
107,16,251.13,near
108,16,265.01,near
109,16,265.00,near
110,16,266.16,near
111,16,266.14,near
112,16,289.76,far
113,16,289.74,far
114,16,288.17,far
115,16,288.17,far
116,16,289.12,far
117,16,289.14,far
118,16,287.87,far
119,16,287.87,far
120,16,300.77,far
121,16,300.77,far
122,16,298.11,far
123,16,298.07,far
124,16,252.24,near
125,16,252.26,near
126,16,266.41,near
127,16,266.40,near
128,16,256.28,near
129,16,256.29,near
130,16,261.40,near
131,16,261.41,near
0,24,273.67,near
1,24,273.66,near
2,24,270.68,near
3,24,270.68,near
4,24,261.37,near
5,24,261.36,near
6,24,261.37,near
7,24,261.40,near
8,24,285.81,far
9,24,285.81,far
10,24,296.14,far
11,24,296.13,far
12,24,284.04,far
13,24,284.01,far
14,24,298.14,far
15,24,298.17,far
16,24,268.66,near
17,24,268.64,near
18,24,267.48,near
19,24,267.49,near
20,24,268.63,near
21,24,268.62,near
22,24,269.80,near
23,24,269.80,near
24,24,293.36,far
25,24,293.36,far
26,24,304.58,far
27,24,304.55,far
28,24,292.74,far
29,24,292.75,far
30,24,304.27,far
31,24,304.28,far
32,24,277.81,near
33,24,277.81,near
34,24,272.56,near
35,24,272.59,near
36,24,274.32,near
37,24,274.32,near
38,24,274.35,near
39,24,274.33,near
40,24,301.27,far
41,24,301.31,far
42,24,310.78,far
43,24,310.80,far
44,24,305.40,far
45,24,305.38,far
46,24,315.50,far
47,24,315.49,far
48,24,267.70,near
49,24,267.69,near
50,24,265.70,near
51,24,265.71,near
52,24,256.37,near
53,24,256.39,near
54,24,256.36,near
55,24,256.38,near
56,24,280.78,near
57,24,280.80,near
58,24,291.14,far
59,24,291.15,far
60,24,279.05,near
61,24,279.06,near
62,24,293.16,far
63,24,293.18,far
64,24,262.51,near
65,24,262.57,near
66,24,263.66,near
67,24,263.62,near
