bytes,cycles,ns
20480,32.000,16.1763
24576,32.001,16.1769
36864,32.000,16.1763
49152,32.001,16.1766
69632,32.000,16.1763
94208,32.001,16.1766
135168,32.000,16.1763
188416,32.000,16.1763
266240,32.000,16.1763
372736,32.001,16.1766
528384,199.931,101.0669
745472,283.695,143.4106
1052672,284.105,143.6179
1486848,283.589,143.3569
2101248,283.493,143.3082
2969600,283.974,143.5514
4198400,282.964,143.0406
5935104,282.863,142.9896
8392704,283.616,143.3704
11866112,284.092,143.6110
16781312,283.721,143.4234
23728128,283.905,143.5165
33558528,283.298,143.2098
47456256,299.137,151.2167
67112960,474.671,239.9506
94908416,552.570,279.3290
134221824,688.141,347.8613
189812736,671.794,339.5981
268439552,655.887,331.5570
379625472,654.329,330.7695
536875008,659.182,333.2226
759250944,653.193,330.1952
1073745920,649.924,328.5424
1518501888,653.586,330.3936
